timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054049149,383004458,415045274.0,2635.42,4.759,9.800000000000011,127.0
1054049151,383003639,415045163.0,2643.03,4.031,9.800000000000011,127.0
1054049152,383003366,415044815.0,2646.71,4.031,9.800000000000011,127.0
1054049155,383003033,415043151.0,2660.26,4.516,10.0,126.0
1054049156,383002996,415042519.0,2665.26,4.516,10.399999999999975,125.0
1054049158,383002970,415041392.0,2674.17,4.516,10.800000000000011,125.0
1054049163,383002626,415038170.0,2699.86,4.759,11.199999999999989,124.0
1054049164,383002520,415037584.0,2704.6,4.759,11.199999999999989,124.0
1054049170,383001805,415033709.0,2735.97,4.983,11.0,125.0
1054049180,383001065,415026824.0,2790.86,5.402,9.199999999999989,127.0
1054049190,383000223,415019828.0,2846.77,5.524,8.199999999999989,125.0
1054049201,382999088,415012295.0,2907.3,5.496,7.199999999999989,125.0
1054049202,382998977,415011523.0,2913.49,5.496,7.0,125.0
1054049212,382998171,415004740.0,2967.71,5.346,5.800000000000011,125.0
1054049223,382997174,414997113.0,3028.76,5.58,4.199999999999989,123.0
1054049230,382997042,414992351.0,3066.52,5.384,4.199999999999989,125.0
1054049236,382996758,414988654.0,3095.89,4.908,5.0,125.0
1054049237,382996575,414988103.0,3100.57,4.852,5.199999999999989,125.0
1054049245,382995453,414983047.0,3142.01,5.169,6.399999999999977,125.0
1054049255,382994573,414975937.0,3198.85,5.533,5.399999999999977,126.0
1054049265,382993716,414969044.0,3253.98,5.552,4.399999999999977,128.0
1054049268,382993514,414967275.0,3268.08,4.964,4.199999999999989,128.0
1054049272,382993387,414965095.0,3285.38,4.619,4.399999999999977,126.0
1054049275,382993232,414963555.0,3297.65,4.273,4.600000000000023,123.0
1054049277,382992791,414962813.0,3304.78,3.424,4.600000000000023,121.0
1054049282,382991705,414961863.0,3317.37,2.594,4.600000000000023,119.0
1054049286,382990757,414960543.0,3331.03,3.835,4.600000000000023,117.0
1054049287,382990429,414960389.0,3334.32,4.078,4.600000000000023,117.0
1054049288,382989938,414960218.0,3339.07,4.572,4.399999999999977,117.0
1054049292,382987580,414959694.0,3361.37,5.3,4.0,117.0
1054049296,382985339,414959464.0,3382.32,5.123,3.8000000000000114,117.0
1054049298,382984308,414959641.0,3392.0,5.123,3.8000000000000114,118.0
1054049301,382982843,414960166.0,3406.24,4.843,3.8000000000000114,123.0
1054049303,382982085,414960714.0,3414.53,3.966,3.8000000000000114,126.0
1054049304,382981910,414961084.0,3417.7,3.35,4.0,126.0
1054049307,382982204,414962258.0,3427.14,2.948,4.199999999999989,125.0
1054049310,382981853,414962797.0,3432.55,1.959,4.399999999999977,126.0
1054049316,382980447,414963716.0,3447.49,2.837,5.0,123.0
1054049317,382980144,414963975.0,3450.97,3.163,5.199999999999989,123.0
1054049325,382977298,414965586.0,3480.36,3.695,5.399999999999977,123.0
1054049329,382975998,414966238.0,3493.51,2.93,5.0,126.0
1054049332,382975351,414966563.0,3500.04,2.006,5.0,126.0
1054049339,382974220,414967347.0,3512.34,1.717,5.199999999999989,124.0
1054049343,382972884,414967851.0,3525.37,3.555,5.199999999999989,122.0
1054049348,382970918,414968379.0,3544.16,3.592,5.0,118.0
1054049349,382970494,414968440.0,3548.12,3.77,5.0,117.0
1054049355,382967911,414969400.0,3573.49,4.003,5.0,115.0
1054049362,382964892,414971052.0,3604.46,4.581,4.0,117.0
1054049370,382960938,414973156.0,3644.82,4.74,2.1999999999999886,118.0
1054049372,382960001,414973637.0,3654.31,4.74,2.1999999999999886,118.0
1054049377,382957633,414974942.0,3678.61,4.703,2.0,119.0
1054049382,382955871,414976187.0,3697.79,4.078,1.3999999999999773,120.0
1054049388,382953783,414977409.0,3719.51,3.051,-0.3999999999999772,122.0
1054049393,382952735,414977953.0,3730.37,1.791,-0.8000000000000114,120.0
1054049395,382952515,414978157.0,3732.98,1.353,-0.6000000000000227,117.0
1054049399,382952464,414978198.0,3733.55,0.0,-0.3999999999999772,116.0
1054049415,382952464,414978198.0,3733.55,0.0,0.0,112.0
1054049419,382952464,414978198.0,3733.55,0.0,0.1999999999999886,109.0
1054049422,382952464,414978198.0,3733.55,0.0,0.1999999999999886,108.0
1054049425,382952187,414978182.0,3736.19,1.166,0.1999999999999886,106.0
1054049427,382951725,414978226.0,3740.45,2.006,0.1999999999999886,105.0
1054049431,382950807,414977422.0,3751.22,2.818,0.1999999999999886,105.0
1054049437,382950152,414974804.0,3772.83,3.779,1.1999999999999886,106.0
1054049442,382948765,414972942.0,3792.88,3.788,1.3999999999999773,108.0
1054049449,382945868,414971758.0,3821.75,4.096,2.1999999999999886,109.0
1054049454,382943560,414971872.0,3843.23,4.096,2.6000000000000227,113.0
1054049458,382941608,414972093.0,3861.44,4.404,1.8000000000000114,114.0
1054049460,382940737,414972797.0,3871.19,4.46,1.1999999999999886,115.0
1054049461,382940480,414973360.0,3876.18,4.497,1.0,115.0
1054049462,382940398,414973950.0,3880.89,4.497,0.8000000000000114,115.0
1054049465,382940512,414975648.0,3894.37,4.507,0.3999999999999772,116.0
1054049467,382940574,414976788.0,3903.4,4.479,0.6000000000000227,117.0
1054049470,382940668,414978360.0,3915.8,4.32,0.8000000000000114,116.0
1054049472,382940187,414979095.0,3923.16,4.245,1.0,116.0
1054049473,382939789,414979230.0,3926.91,4.078,1.0,116.0
1054049477,382937826,414978793.0,3945.51,4.721,0.6000000000000227,117.0
1054049478,382937250,414978709.0,3950.92,5.039,0.6000000000000227,118.0
1054049485,382933310,414978778.0,3987.56,4.992,0.3999999999999772,118.0
1054049491,382930826,414979129.0,4010.76,2.697,1.6000000000000227,120.0
1054049493,382930444,414978922.0,4014.57,1.847,2.0,124.0
1054049494,382930459,414978708.0,4016.26,1.847,2.3999999999999773,125.0
1054049500,382930500,414976471.0,4034.0,2.697,4.0,126.0
1054049505,382930452,414974289.0,4051.26,3.415,4.199999999999989,123.0
1054049508,382930490,414972734.0,4063.53,3.247,4.399999999999977,123.0
1054049519,382930392,414967306.0,4106.49,3.91,5.800000000000011,124.0
1054049524,382929529,414965145.0,4126.03,3.91,5.800000000000011,124.0
1054049529,382927988,414962683.0,4150.86,4.563,5.600000000000023,124.0
1054049534,382927769,414959729.0,4174.3,4.703,5.0,122.0
1054049543,382928009,414953786.0,4221.38,5.151,3.1999999999999886,122.0
1054049550,382927822,414949754.0,4253.33,4.367,3.0,120.0
1054049559,382927481,414944503.0,4295.0,4.507,3.1999999999999886,123.0
1054049561,382927415,414943205.0,4305.29,4.749,3.1999999999999886,125.0
1054049564,382927238,414941237.0,4320.91,5.029,3.0,128.0
1054049566,382927018,414940084.0,4330.21,5.067,3.0,128.0
1054049567,382926973,414939436.0,4335.35,5.067,3.0,128.0
1054049568,382926844,414938679.0,4341.42,5.113,2.800000000000012,128.0
1054049571,382926540,414936845.0,4356.21,5.076,2.6000000000000227,126.0
1054049577,382926541,414932823.0,4388.02,5.113,2.1999999999999886,125.0
1054049580,382926672,414930836.0,4403.81,5.207,2.3999999999999773,124.0
1054049583,382926993,414929022.0,4418.47,5.179,3.0,124.0
1054049591,382927640,414924152.0,4457.46,4.908,3.3999999999999773,124.0
1054049592,382927850,414923609.0,4462.17,4.917,3.3999999999999773,123.0
1054049595,382928727,414922141.0,4476.37,4.852,3.1999999999999886,123.0
1054049598,382929684,414921059.0,4488.72,3.62,3.1999999999999886,124.0
1054049603,382930758,414919957.0,4501.94,2.221,4.199999999999989,125.0
1054049609,382932249,414918295.0,4521.04,5.225,5.199999999999989,126.0
1054049610,382932794,414917839.0,4527.26,5.272,5.0,127.0
1054049614,382934788,414916793.0,4547.55,4.955,3.6000000000000227,129.0
1054049618,382936777,414915679.0,4568.04,5.02,2.6000000000000227,132.0
1054049619,382937247,414915396.0,4572.91,5.02,2.6000000000000227,132.0
1054049621,382938253,414914996.0,4582.78,5.02,2.3999999999999773,132.0
1054049625,382940319,414914350.0,4602.64,5.113,2.3999999999999773,130.0
