timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049872613,382501466,414699805.0,1674.28,3.144,15.600000000000025,0.0,165.0,83.0,0.5
1049872614,382501691,414700120.0,1677.54,3.144,15.600000000000025,0.0,165.0,83.0,0.5
1049872619,382502672,414701768.0,1693.47,3.154,16.600000000000023,0.0,168.0,83.0,0.0
1049872621,382503193,414702119.0,1699.07,3.154,17.0,0.0,168.0,83.0,0.5
1049872628,382505278,414703474.0,1721.39,3.144,17.799999999999955,0.0,169.0,82.0,0.5
1049872634,382507118,414703951.0,1739.33,3.144,18.0,0.0,169.0,83.0,0.5
1049872640,382508966,414702902.0,1758.69,3.144,18.0,0.0,168.0,83.0,0.5
1049872646,382510578,414701463.0,1777.67,3.154,18.200000000000045,0.0,169.0,83.0,0.5
1049872650,382511675,414700932.0,1789.02,3.163,17.200000000000045,0.0,168.0,82.0,0.5
1049872656,382513469,414701595.0,1806.84,3.144,16.600000000000023,0.0,169.0,82.0,0.5
1049872663,382515535,414702744.0,1828.2,3.126,16.399999999999977,0.0,167.0,81.0,0.5
1049872664,382515877,414702821.0,1831.43,3.126,16.399999999999977,0.0,167.0,81.0,0.5
1049872671,382518313,414702857.0,1854.18,3.126,16.0,0.0,168.0,83.0,0.5
1049872672,382518654,414702771.0,1857.42,3.126,16.0,0.0,168.0,83.0,0.5
1049872678,382520390,414701509.0,1876.55,3.135,15.399999999999975,0.0,170.0,82.0,0.5
1049872684,382522150,414700252.0,1895.79,3.154,14.200000000000044,0.0,169.0,82.0,0.5
1049872691,382524451,414699676.0,1917.85,3.154,13.600000000000025,0.0,169.0,82.0,0.5
1049872698,382526880,414699855.0,1940.47,3.154,13.200000000000044,0.0,167.0,83.0,0.5
1049872702,382528209,414699913.0,1952.83,3.154,13.0,0.0,166.0,83.0,0.0
1049872709,382530618,414700624.0,1976.06,3.172,13.399999999999975,0.0,168.0,82.0,0.5
1049872710,382530985,414700738.0,1979.58,3.172,13.399999999999975,0.0,168.0,82.0,0.5
1049872717,382533132,414701564.0,2000.6,3.172,15.0,0.0,169.0,82.0,0.5
1049872720,382534107,414701813.0,2009.87,3.163,15.399999999999975,0.0,169.0,82.0,0.5
1049872727,382536058,414702869.0,2029.91,3.135,16.200000000000045,0.0,168.0,82.0,0.5
1049872734,382538169,414703845.0,2051.05,3.116,16.799999999999955,0.0,167.0,82.0,0.5
1049872736,382538798,414704002.0,2057.02,3.116,17.0,0.0,167.0,82.0,0.5
1049872743,382540833,414704984.0,2077.53,3.098,17.600000000000023,0.0,167.0,81.0,0.5
1049872745,382541437,414705331.0,2083.77,3.098,17.399999999999977,0.0,168.0,82.0,0.5
1049872749,382542456,414706109.0,2095.13,3.079,17.399999999999977,0.0,171.0,82.0,0.5
1049872752,382543074,414706969.0,2104.03,3.06,17.600000000000023,0.0,172.0,83.0,0.5
1049872759,382544687,414708917.0,2125.66,3.042,17.799999999999955,0.0,172.0,81.0,0.5
1049872760,382544934,414709141.0,2128.56,3.042,17.799999999999955,0.0,172.0,82.0,0.5
1049872767,382546989,414709952.0,2149.12,3.032,17.799999999999955,0.0,171.0,82.0,0.5
1049872774,382549355,414710465.0,2171.5,3.023,17.600000000000023,0.0,168.0,81.0,0.5
1049872776,382549964,414710672.0,2177.39,3.023,17.600000000000023,0.0,168.0,82.0,0.5
1049872783,382552076,414711489.0,2198.09,3.023,17.399999999999977,0.0,169.0,83.0,0.5
1049872784,382552306,414711519.0,2200.24,3.023,17.600000000000023,0.0,169.0,83.0,0.5
1049872791,382554656,414711987.0,2222.41,3.014,17.600000000000023,0.0,168.0,82.0,0.5
1049872792,382555043,414712079.0,2226.08,3.014,17.600000000000023,0.0,168.0,83.0,0.5
1049872799,382557232,414712728.0,2247.05,3.023,17.0,0.0,165.0,82.0,0.5
1049872801,382557839,414712946.0,2252.95,3.032,16.799999999999955,0.0,165.0,82.0,0.5
1049872807,382559776,414713377.0,2271.27,3.023,16.399999999999977,0.0,162.0,82.0,0.5
1049872810,382560833,414713688.0,2281.41,3.032,16.200000000000045,0.0,162.0,83.0,0.5
1049872814,382562014,414714558.0,2294.39,3.042,16.200000000000045,0.0,166.0,82.0,0.5
1049872816,382562564,414714947.0,2300.36,3.051,16.600000000000023,0.0,167.0,83.0,0.5
1049872823,382564577,414716161.0,2321.4,3.051,17.600000000000023,0.0,167.0,82.0,0.5
1049872826,382565454,414716651.0,2330.43,3.051,18.0,0.0,168.0,82.0,0.5
1049872833,382567202,414718474.0,2352.33,3.051,18.399999999999977,0.0,167.0,83.0,0.5
1049872840,382568512,414720676.0,2373.65,3.06,17.799999999999955,0.0,167.0,82.0,0.5
1049872841,382568710,414721029.0,2376.99,3.06,17.600000000000023,0.0,167.0,81.0,0.5
1049872846,382569593,414722730.0,2392.76,3.051,17.200000000000045,0.0,167.0,82.0,0.5
